dataset,protocol_train,protocol_eval,model,ablation,seed,cn_feature_mode,interaction_mode,score_routing_enabled,routing_finetune_encoder,config_hash,git_commit,best_epoch,checkpoint,predictions,intervention_failures,cn_feature_metadata,evaluation_candidates,data_integrity,intervention_cache,parameter_count,loss_weights,device,result_file,pipeline_model,mechanism_predictions,probe_results,evaluation_file,metric_mrr,metric_hits10,metric_hits20,metric_hits50,metric_hits100,metric_mean_positive_rank,metric_auc,metric_ap,metric_macro_mrr,metric_worst_group_mrr,metric_group_gap,runtime_train_seconds,runtime_inference_seconds,runtime_peak_gpu_mb
smoke,uniform,standard,dcdlp,A5,0,raw,audited,True,frozen,0351477e920b,untracked,0,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\phase2_selective\checkpoints\smoke_uniform_seed0_0351477e920b.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\phase2_selective\predictions\smoke_uniform_seed0_0351477e920b_predictions.csv,{},"{'residualizer_type': 'NOT_USED', 'residualizer_parameters': {}, 'fit_seed': 0, 'fit_sample_count': 158, 'symmetric_endpoint_degrees': True, 'cn_feature_mode': 'raw', 'cn_input_schema': 'selective_v1', 'fit_split': 'train', 'uses_valid_or_test': False, 'data_source': 'train_positive+fixed_train_negative_epoch0', 'data_hash': 'c1d3b570cd8acfc00263c43c0fba2721c6ec715b21d78277305adfdbe4ac58c0', 'config_hash': '0320f0c15090', 'used_as_model_input': False}","{'source': 'generated_uniform', 'hash': '7fb769b17dc02b40dd7bda059c63a82cdb41f3351cf7e44bd579236d24cfd050', 'shape': [9, 10, 2], 'seed': 999, 'protocol': 'standard', 'negatives_per_positive': 10}","{'split_hash': '429da50ed5d3', 'train_positive_hash': '61d7f0758b3fe563b6cb64c162b3d6c096faf68cf0b7170ac1fed2933727d4a7', 'valid_positive_hash': '0b17b1ebb9425c30f6cacf401952c1cecceb32aa9115d3a1634739d4418addd1', 'test_positive_hash': 'd0dcf409e4b4fbf85491716cae675eb589ded370b721e1f2bba1717bf6af7d17', 'candidate_hash': '7fb769b17dc02b40dd7bda059c63a82cdb41f3351cf7e44bd579236d24cfd050'}","{'source': 'deterministic_online_generation', 'id': '29d5b85e1834'}","{'total': 1806, 'trainable': 1198, 'cn_branch': 481}","{'lambda_link': 1.0, 'lambda_score_route': 0.03, 'lambda_target_response': 0.03, 'lambda_interaction_share': 0.01, 'lambda_interaction_delta': 0.01, 'lambda_orthogonal_legacy': 0.0, 'lambda_adversarial_legacy': 0.0}",cpu,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\phase2_selective\raw\smoke_uniform_seed0_0351477e920b.json,M0,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\phase2_selective\mechanism_audit\smoke_uniform_seed0_0351477e920b\intervention_predictions.csv,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\phase2_selective\probe\smoke_uniform_seed0_0351477e920b\posthoc_probe.csv,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\phase2_selective\mechanism_audit\smoke_uniform_seed0_0351477e920b\evaluation.json,0.169668911335578,0.8888888888888888,1.0,1.0,1.0,6.888888888888889,0.4469135802469136,0.08629052965643244,0.18496773288439958,0.12897727272727272,0.13768939393939394,0.17626089999976102,0.0,0.0
smoke,uniform,standard,dcdlp,A5,0,residual,audited,True,frozen,20aa19cabf80,untracked,0,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\phase2_selective\checkpoints\smoke_uniform_seed0_20aa19cabf80.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\phase2_selective\predictions\smoke_uniform_seed0_20aa19cabf80_predictions.csv,{},"{'residualizer_type': 'NOT_USED', 'residualizer_parameters': {}, 'fit_seed': 0, 'fit_sample_count': 158, 'symmetric_endpoint_degrees': True, 'cn_feature_mode': 'residual', 'cn_input_schema': 'selective_v1', 'fit_split': 'train', 'uses_valid_or_test': False, 'data_source': 'train_positive+fixed_train_negative_epoch0', 'data_hash': 'c1d3b570cd8acfc00263c43c0fba2721c6ec715b21d78277305adfdbe4ac58c0', 'config_hash': 'a6400c512174', 'used_as_model_input': True}","{'source': 'generated_uniform', 'hash': '7fb769b17dc02b40dd7bda059c63a82cdb41f3351cf7e44bd579236d24cfd050', 'shape': [9, 10, 2], 'seed': 999, 'protocol': 'standard', 'negatives_per_positive': 10}","{'split_hash': '429da50ed5d3', 'train_positive_hash': '61d7f0758b3fe563b6cb64c162b3d6c096faf68cf0b7170ac1fed2933727d4a7', 'valid_positive_hash': '0b17b1ebb9425c30f6cacf401952c1cecceb32aa9115d3a1634739d4418addd1', 'test_positive_hash': 'd0dcf409e4b4fbf85491716cae675eb589ded370b721e1f2bba1717bf6af7d17', 'candidate_hash': '7fb769b17dc02b40dd7bda059c63a82cdb41f3351cf7e44bd579236d24cfd050'}","{'source': 'deterministic_online_generation', 'id': '29d5b85e1834'}","{'total': 1806, 'trainable': 1198, 'cn_branch': 481}","{'lambda_link': 1.0, 'lambda_score_route': 0.03, 'lambda_target_response': 0.03, 'lambda_interaction_share': 0.01, 'lambda_interaction_delta': 0.01, 'lambda_orthogonal_legacy': 0.0, 'lambda_adversarial_legacy': 0.0}",cpu,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\phase2_selective\raw\smoke_uniform_seed0_20aa19cabf80.json,M1,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\phase2_selective\mechanism_audit\smoke_uniform_seed0_20aa19cabf80\intervention_predictions.csv,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\phase2_selective\probe\smoke_uniform_seed0_20aa19cabf80\posthoc_probe.csv,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\phase2_selective\mechanism_audit\smoke_uniform_seed0_20aa19cabf80\evaluation.json,0.1659652076318743,0.8888888888888888,1.0,1.0,1.0,7.0,0.4419753086419753,0.08550214185442481,0.18126402918069584,0.12897727272727272,0.13768939393939394,0.1597257999997055,0.0,0.0
smoke,uniform,standard,dcdlp,A5,0,residual,disabled,True,frozen,7e8d829fbb58,untracked,0,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\phase2_selective\checkpoints\smoke_uniform_seed0_7e8d829fbb58.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\phase2_selective\predictions\smoke_uniform_seed0_7e8d829fbb58_predictions.csv,{},"{'residualizer_type': 'NOT_USED', 'residualizer_parameters': {}, 'fit_seed': 0, 'fit_sample_count': 158, 'symmetric_endpoint_degrees': True, 'cn_feature_mode': 'residual', 'cn_input_schema': 'selective_v1', 'fit_split': 'train', 'uses_valid_or_test': False, 'data_source': 'train_positive+fixed_train_negative_epoch0', 'data_hash': 'c1d3b570cd8acfc00263c43c0fba2721c6ec715b21d78277305adfdbe4ac58c0', 'config_hash': 'a6400c512174', 'used_as_model_input': True}","{'source': 'generated_uniform', 'hash': '7fb769b17dc02b40dd7bda059c63a82cdb41f3351cf7e44bd579236d24cfd050', 'shape': [9, 10, 2], 'seed': 999, 'protocol': 'standard', 'negatives_per_positive': 10}","{'split_hash': '429da50ed5d3', 'train_positive_hash': '61d7f0758b3fe563b6cb64c162b3d6c096faf68cf0b7170ac1fed2933727d4a7', 'valid_positive_hash': '0b17b1ebb9425c30f6cacf401952c1cecceb32aa9115d3a1634739d4418addd1', 'test_positive_hash': 'd0dcf409e4b4fbf85491716cae675eb589ded370b721e1f2bba1717bf6af7d17', 'candidate_hash': '7fb769b17dc02b40dd7bda059c63a82cdb41f3351cf7e44bd579236d24cfd050'}","{'source': 'deterministic_online_generation', 'id': '29d5b85e1834'}","{'total': 1806, 'trainable': 1133, 'cn_branch': 481}","{'lambda_link': 1.0, 'lambda_score_route': 0.03, 'lambda_target_response': 0.03, 'lambda_interaction_share': 0.01, 'lambda_interaction_delta': 0.01, 'lambda_orthogonal_legacy': 0.0, 'lambda_adversarial_legacy': 0.0}",cpu,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\phase2_selective\raw\smoke_uniform_seed0_7e8d829fbb58.json,M3,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\phase2_selective\mechanism_audit\smoke_uniform_seed0_7e8d829fbb58\intervention_predictions.csv,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\phase2_selective\probe\smoke_uniform_seed0_7e8d829fbb58\posthoc_probe.csv,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\phase2_selective\mechanism_audit\smoke_uniform_seed0_7e8d829fbb58\evaluation.json,0.1659652076318743,0.8888888888888888,1.0,1.0,1.0,7.0,0.4469135802469136,0.08627935190804006,0.18218995510662175,0.12064393939393939,0.14602272727272728,0.18210839999983364,0.0,0.0
