timestamp,model_label,dataset,seed,status,run_id,result_file,checkpoint,evaluation_file,probe_file,log_file,failure_code,message
2026-09-13T15:47:09,M0,smoke,0,COMPLETED,smoke_uniform_seed0_0351477e920b,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\phase2_selective\raw\smoke_uniform_seed0_0351477e920b.json,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\phase2_selective\checkpoints\smoke_uniform_seed0_0351477e920b.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\phase2_selective\mechanism_audit\smoke_uniform_seed0_0351477e920b\evaluation.json,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\phase2_selective\probe\smoke_uniform_seed0_0351477e920b\posthoc_probe.csv,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\phase2_selective\logs\M0_smoke_uniform_seed0_0351477e920b.log,,
2026-09-13T15:47:13,M1,smoke,0,COMPLETED,smoke_uniform_seed0_20aa19cabf80,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\phase2_selective\raw\smoke_uniform_seed0_20aa19cabf80.json,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\phase2_selective\checkpoints\smoke_uniform_seed0_20aa19cabf80.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\phase2_selective\mechanism_audit\smoke_uniform_seed0_20aa19cabf80\evaluation.json,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\phase2_selective\probe\smoke_uniform_seed0_20aa19cabf80\posthoc_probe.csv,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\phase2_selective\logs\M1_smoke_uniform_seed0_20aa19cabf80.log,,
2026-09-13T15:47:14,M3,smoke,0,COMPLETED,smoke_uniform_seed0_7e8d829fbb58,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\phase2_selective\raw\smoke_uniform_seed0_7e8d829fbb58.json,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\phase2_selective\checkpoints\smoke_uniform_seed0_7e8d829fbb58.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\phase2_selective\mechanism_audit\smoke_uniform_seed0_7e8d829fbb58\evaluation.json,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\phase2_selective\probe\smoke_uniform_seed0_7e8d829fbb58\posthoc_probe.csv,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\phase2_selective\logs\M3_smoke_uniform_seed0_7e8d829fbb58.log,,
